,고객ID,Monetary,Recency_R,Frequency_F,Monetary_M,Class
23310,AGUFHNPJR08PA4FV,3594.887875913972,4,1,2,2
23311,AGUG2NZL4WQDMHGF,3594.887875913972,4,1,2,2
23312,AGUH44TRRRLX9U41,14379.551503655888,4,5,5,2
23313,AGUH6OIIJXX2GH1V,21569.327255483833,2,5,5,4
23314,AGUHCCQD7J0W8CS1,3594.887875913972,3,1,2,3
23315,AGUHZ219EBVN562J,3544.3271767810024,2,1,1,4
23316,AGUHZT4FZFW63W8F,3594.887875913972,3,1,2,3
23317,AGUIBPH5QK78CB72,3594.887875913972,5,1,2,1
23318,AGUIX8AAYUYPK13P,3594.887875913972,4,1,2,2
23319,AGUJ8E8H5E22FAPK,10632.981530343008,2,5,5,4
23320,AGUKR32HJCX2EK8E,3594.887875913972,5,1,2,1
23321,AGULH59AGKJD7U74,3594.887875913972,3,1,2,3
23322,AGUM0P4E0PPTZPBW,3544.3271767810024,2,1,1,4
23323,AGUNEKOM4GTVA4OP,3594.887875913972,3,1,2,3
23324,AGUPKUFKKKHBKB7D,3594.887875913972,4,1,2,2
23325,AGUPWOFEGV10RCT9,3594.887875913972,3,1,2,3
23326,AGUQFO16TXVTGYS3,10784.663627741917,5,5,5,1
23327,AGUR7E0831E0K4JT,7189.775751827944,4,4,4,2
23328,AGURNTD22XT1KZTJ,7189.775751827944,3,4,4,3
23329,AGUS3QFGB92VHJR4,3544.3271767810024,2,1,1,4
23330,AGUV2SIDYEOIJQSW,3458.2679636021335,1,1,1,5
23331,AGUVCSMQOBTH9W8G,3594.887875913972,3,1,2,3
23332,AGUVEOBJL9VW10GI,10632.981530343008,2,5,5,4
23333,AGUWJ78Z41Q2FNTZ,7088.654353562005,2,4,4,4
23334,AGUWKRXA22OBQY94,3594.887875913972,3,1,2,3
23335,AGUWWU9B4JIASSSP,3594.887875913972,3,1,2,3
23336,AGUX3SWUGTB0Q4XZ,3594.887875913972,2,1,2,4
23337,AGUX4S1T9UFXGHGP,3594.887875913972,3,1,2,3
23338,AGUXP4KTX1GZQ2WZ,3594.887875913972,5,1,2,1
23339,AGUY6VSEDQVYKUUY,3594.887875913972,5,1,2,1
23340,AGUYOPVAY0F9IK3Z,3594.887875913972,2,1,2,4
23341,AGUYPFLSVK9CR4MX,3594.887875913972,4,1,2,2
23342,AGUYTCBOOUBF0GTY,3594.887875913972,5,1,2,1
23343,AGUZXPJQ1DQW2ITJ,3594.887875913972,3,1,2,3
23344,AGV1BWP9SG2UUQ5W,3594.887875913972,3,1,2,3
23345,AGV2SGO97V8VVPA9,6909.157286279282,1,4,4,5
23346,AGV4Z7XD6PNBQ7JC,3594.887875913972,5,1,2,1
23347,AGV5N5MPVUAS49RT,3594.887875913972,2,1,2,4
23348,AGV6OR4GSW6O50JS,7189.775751827944,5,4,4,1
23349,AGV8MX8NDANQ7WGA,3544.3271767810024,2,1,1,4
23350,AGV8VNMHJ90IGWKA,3594.887875913972,5,1,2,1
23351,AGV9W6IFK76Q831A,3594.887875913972,3,1,2,3
23352,AGVAS21Q9LKIT388,3594.887875913972,4,1,2,2
23353,AGVC8LVAI6BRFR50,7189.775751827944,5,4,4,1
23354,AGVCIIEUTPLBIIR8,3544.3271767810024,2,1,1,4
23355,AGVD7OBHX6LP9Y6R,3454.578643139641,1,1,1,5
23356,AGVDO2SN4HXLRD6F,3458.2679636021335,1,1,1,5
23357,AGVDP95IV00H9RYM,3458.2679636021335,1,1,1,5
23358,AGVDPBQLU0QX2LLW,3473.055488248122,1,1,1,5
23359,AGVE4EKKEOC30TV0,3458.2679636021335,1,1,1,5
23360,AGVF2NEZWHZUTTN6,3594.887875913972,5,1,2,1
23361,AGVH1CCV9MXYS6S6,10363.735929418923,1,5,5,5
23362,AGVH6WGBEOE1QE4V,3544.3271767810024,2,1,1,4
23363,AGVHQK3L4JDJNF38,3544.3271767810024,2,1,1,4
23364,AGVIHFCO2D83T2OX,6909.157286279282,1,4,4,5
23365,AGVJWWEAQ1FL8HHY,3594.887875913972,3,1,2,3
23366,AGVKFGZCGX72PP7O,3458.2679636021335,1,1,1,5
23367,AGVKI7S97E2GYSU5,3458.2679636021335,1,1,1,5
23368,AGVKTHIX9WHAL79Y,3454.578643139641,1,1,1,5
23369,AGVLD89OM1MCKKUL,14379.551503655888,5,5,5,1
23370,AGVM5QFA4K860HEZ,3594.887875913972,3,1,2,3
23371,AGVMGHGKHDB59B82,3544.3271767810024,2,1,1,4
23372,AGVMN9D3K7R2S4NT,3594.887875913972,4,1,2,2
23373,AGVOMANRPQZ7KJKO,3594.887875913972,2,1,2,4
23374,AGVPR8Q3WFMCNR1U,7189.775751827944,3,4,4,3
23375,AGVPW0BVHVN18Y3R,3594.887875913972,4,1,2,2
23376,AGVQW706SJSZIMBH,17974.43937956986,3,5,5,3
23377,AGVRQ4ZJFSZKD88Z,3594.887875913972,3,1,2,3
23378,AGVVUW0JD0Q19QCV,3594.887875913972,5,1,2,1
23379,AGVWEUTH0NFKT4UM,3473.055488248122,1,1,1,5
23380,AGVWWNJA5A4YN8T2,3544.3271767810024,2,1,1,4
23381,AGVX2S5H46QS3P0K,3594.887875913972,4,1,2,2
23382,AGVXG48GPGI6QJOM,6946.110976496244,1,4,4,5
23383,AGVYHHHCZ463AXFD,3594.887875913972,5,1,2,1
23384,AGVYN7C0USYTLO8I,3594.887875913972,3,1,2,3
23385,AGW1QGY13QK214DJ,3454.578643139641,1,1,1,5
23386,AGW2LKXHYMUIQSCG,3594.887875913972,5,1,2,1
23387,AGW2U4XOB6K9MFL0,7189.775751827944,5,4,4,1
23388,AGW4CG79OYABXDZA,3473.055488248122,1,1,1,5
23389,AGW4F874FHL6R02K,3594.887875913972,4,1,2,2
23390,AGW4UMFLL6L6OY5A,7189.775751827944,5,4,4,1
23391,AGW8KWSHV1CEWB7S,7189.775751827944,5,4,4,1
23392,AGWB3PGTYWT6RWZP,7189.775751827944,5,4,4,1
23393,AGWBPZUO2SY1VKLK,3594.887875913972,4,1,2,2
